 	avca10
338 	0.0821898591472489
339 	0.0787091171152626
340 	0.0752283750832764
341 	0.0717476330512902
342 	0.068266891019304
343 	0.0653876213214862
344 	0.0642959171947845
345 	0.0632042130680828
346 	0.0621125089413811
347 	0.0610208048146794
348 	0.0599291006879778
349 	0.0588373965612761
350 	0.0593812189012712
351 	0.0600152147724157
352 	0.0606492106435603
353 	0.0612832065147048
354 	0.0619172023858494
355 	0.0625511982569939
356 	0.0626687455620792
357 	0.0624648113275861
358 	0.062260877093093
359 	0.0620569428585999
360 	0.0618530086241067
361 	0.0616490743896136
362 	0.0614736036240085
363 	0.0614614348859752
364 	0.0614492661479419
365 	0.0614370974099085
366 	0.0614249286718752
367 	0.0614127599338419
368 	0.0611335921044335
369 	0.0572373633052282
370 	0.0532788929873846
371 	0.049320422669541
372 	0.0453619523516974
373 	0.0414034820338539
374 	0.0374450117160103
375 	0.0353855406615054
376 	0.0339225897288824
377 	0.0324596387962593
378 	0.0309966878636363
379 	0.0295337369310132
380 	0.0280707859983902
381 	0.0286924802629287
382 	0.0313195593471277
383 	0.0339466384313267
384 	0.0365737175155258
385 	0.0392007965997248
386 	0.0418278756839238
387 	0.0446615067508571
388 	0.0482771184593188
389 	0.0518927301677806
390 	0.0555083418762424
391 	0.0591239535847042
392 	0.062739565293166
393 	0.0663551770016278
394 	0.0650021662563599
395 	0.0634011006895483
396 	0.0618000351227366
397 	0.060198969555925
398 	0.0585979039891134
399 	0.0569968384223018
400 	0.0527844659852772
401 	0.047638839575613
402 	0.0424932131659487
403 	0.0373475867562844
404 	0.0322019603466201
405 	0.0270563339369558
406 	0.0245325257979454
407 	0.0251478964715084
408 	0.0257632671450714
409 	0.0263786378186343
410 	0.0269940084921973
411 	0.0276093791657603
412 	0.0291631200541958
413 	0.0339618489894022
414 	0.0387578307909682
415 	0.0435538125925343
416 	0.0483497943941003
417 	0.0531457761956664
418 	0.0579417579972324
419 	0.0678421806350064
420 	0.0779287347006739
421 	0.0880152887663413
422 	0.0981018428320088
423 	0.108188396897676
424 	0.118274950963344
425 	0.122098995785474
426 	0.123656813393831
427 	0.125214631002187
428 	0.126772448610543
429 	0.128330266218899
430 	0.129888083827256
431 	0.130942672865427
432 	0.131501242500151
433 	0.132059812134876
434 	0.132618381769601
435 	0.133176951404325
436 	0.13373552103905
437 	0.132292022086884
438 	0.125547024000335
439 	0.118801625630565
440 	0.112056227260794
441 	0.105310828891024
442 	0.0985654305212531
443 	0.0919263509686096
444 	0.0866712531775151
445 	0.0814201411448459
446 	0.0761690291121767
447 	0.0709179170795075
448 	0.0656668050468383
449 	0.0604156930141691
450 	0.0584645211356196
451 	0.0571411998792042
452 	0.0558178786227888
453 	0.0544945573663734
454 	0.053171236109958
455 	0.0518479148535426
456 	0.0511652392122553
457 	0.0508049138899355
458 	0.0504445885676157
459 	0.0500842632452958
460 	0.049723937922976
461 	0.0493636126006562
462 	0.0490743490039011
463 	0.0489167169095599
464 	0.0487590848152187
465 	0.0486014527208775
466 	0.0484438206265363
467 	0.0482861885321951
468 	0.047976275626614
469 	0.0472660205328783
470 	0.0465578031362101
471 	0.0458495857395419
472 	0.0451413683428737
473 	0.0444331509462056
474 	0.0441649119899429
475 	0.0496505399244778
476 	0.0551935419348276
477 	0.0607365439451775
478 	0.0662795459555274
